gvkey,Name,sector_name,carbon_major,date,case,impact,country,region,Positive or negative,Column1,Column2
,Volkswagen AG,,,5/8/2023,Church of England Pensions Board and others v. Volkswagen AG,,,,Positive,,
,Deutsche Lufthansa AG,,,3/28/2024,Deutsche Umwelthilfe v. Eurowings GmbH,,,,Negative,,
,HelloFresh SE,,,10/10/2023,Deutsche Umwelthilfe v. HelloFresh Deutschland,,,,Negative,,
,"Meta Platforms, Inc. ",,,10/11/2022,"Stossel v. Meta Platforms, Inc.",,,,Positive,,
,Drax Group PLC,,,7/27/2022,Complaint against Drax Group PLC under the OECD Guidelines brought by the Lifescape Project and others,,,,Negative,,
,Repsol SA,,,4/16/2024,Iberdrola and others vs. Repsol,,,,Positive,,
,ExxonMobil,,,8/21/2023,Ramirez v. Exxon Mobil Corp.,,,,Positive,,
,Shell PLC,,,6/30/2022,"Conservation Law Foundation, Inc. v. Shell Oil Products US",,,,Negative,,
,Hess Corp,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,BP,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,Chevron,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,ExxonMobil,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,Conocophillips,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,Royal Dutch Shell,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,Consol Energy,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,CNX Resources,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,Phillips 66,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,Marathon Petroleum,,,7/10/2024,Mayor & City Council of Baltimore v. BP p.l.c.,,,,Positive,,
,Hess Corp,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,APA Corp,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,BP,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Chevron,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,ExxonMobil,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Occidental ,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Conocophillips,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Ovintiv Inc,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Anadarko,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Royal Dutch Shell,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Devon Energy Corp,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Repsol SA,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Total Energies SE,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Eni Spa,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,Phillips 66,,,11/1/2023,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",,,,Positive ,,
,ExxonMobil,,,10/31/2023,City & County of Honolulu v. Sunoco LP,,,,Negative,,
,Royal Dutch Shell,,,10/31/2023,City & County of Honolulu v. Sunoco LP,,,,Negative,,
,Chevron,,,10/31/2023,City & County of Honolulu v. Sunoco LP,,,,Negative,,
,BP,,,10/31/2023,City & County of Honolulu v. Sunoco LP,,,,Negative,,
,Marathon Oil,,,10/31/2023,City & County of Honolulu v. Sunoco LP,,,,Negative,,
,Conocophillips,,,10/31/2023,City & County of Honolulu v. Sunoco LP,,,,Negative,,
,Phillips 66,,,10/31/2023,City & County of Honolulu v. Sunoco LP,,,,Negative,,
,Energy Transfers,,,10/31/2023,City & County of Honolulu v. Sunoco LP,,,,Negative,,
,ExxonMobil,,,10/25/2023,City of Hoboken v. Exxon Mobil Corp.,,,,Negative,,
,Royal Dutch Shell,,,10/25/2023,City of Hoboken v. Exxon Mobil Corp.,,,,Negative,,
,BP,,,10/25/2023,City of Hoboken v. Exxon Mobil Corp.,,,,Negative,,
,Chevron,,,10/25/2023,City of Hoboken v. Exxon Mobil Corp.,,,,Negative,,
,Conocophillips,,,10/25/2023,City of Hoboken v. Exxon Mobil Corp.,,,,Negative,,
,Phillips 66,,,10/25/2023,City of Hoboken v. Exxon Mobil Corp.,,,,Negative,,
,Marathon Petroleum,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Chevron,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Conocophillips,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Phillips 66,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,ExxonMobil,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Hess Corp,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Marathon Oil,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Murphy Oil Corp,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Royal Dutch Shell,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Occidental ,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Devon Energy Corp,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,APA Corp,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,CNX Resources,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Consol Energy,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Ovintiv Inc,,,1/9/2024,Delaware v. BP America Inc.,,,,Negative,,
,Total Energies SE,,,1/9/2024,Delaware v. BP America Inc.,,,,Positive,,
,BP,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,Chevron,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,ExxonMobil,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,Royal Dutch Shell,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,Conocophillips,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,Phillips 66,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,Marathon Oil,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,Hess Corp,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,CNX Resources,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,Consol Energy,,,2/26/2024,Anne Arundel v BP ,,,,Negative ,,
,BP,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,Chevron,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,ExxonMobil,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,Royal Dutch Shell,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,Conocophillips,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,Phillips 66,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,Marathon Oil,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,Hess Corp,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,CNX Resources,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,Consol Energy,,,5/16/2024,Anne Arundel v BP ,,,,Negative,,
,The Coca-Cola Company,,,8/29/2024,Earth Island Institute v. Coca-Cola Co.,,,,Negative,,
,Oatly,,,6/1/2023,Bentley/Jochims/Kostendt v. Oatly Group AB,,,,Positive,,
,Enea SA,,,7/8/2020,ClientEarth v Enea,,,,Negative ,,
,Shell PLC,,,11/12/2024,Milieudefensie et al. v. Royal Dutch Shell plc.,,,,Positive,,
,Total Energies SE,,,6/18/2024,Notre Affaire a Tous and Others v. Total,,,,Negative,,
,ExxonMobil,,,7/23/2024,Connecticut v. Exxon Mobil Corp. ,,,,Negative ,,
,Banco Santander SA ,,,11/21/2022,AMOREMA e AMORETGRAP vs. Sustainable Carbon and others (Carbon credits and Extractive Reserves),,,,Negative,,
,Air France KLM SA,,,11/21/2022,AMOREMA e AMORETGRAP vs. Sustainable Carbon and others (Carbon credits and Extractive Reserves),,,,Negative,,
,Wienerberger AG ,,,11/21/2022,AMOREMA e AMORETGRAP vs. Sustainable Carbon and others (Carbon credits and Extractive Reserves),,,,Negative,,
,Global Partners,,,9/26/2017,"Benton v. Global Companies, LLC, No. 1:16-cv-00125 (N.D.N.Y., filed Feb. 3, 2016)",,,,Positive ,,
,Energy Transfers,,,9/29/2020,Spoon v. Bayou Bridge Pipeline LLC,,,,Negative,,
,ExxonMobil,,,4/23/2021,Beyond Pesticides v. Exxon Mobil Corp.,,,,Negative,,
